--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              samsara
  Local adapter:           mlx5_2
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   samsara
  Local device: mlx5_2
--------------------------------------------------------------------------
% MAGMA 2.5.4  compiled for CUDA capability >= 7.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11020. OpenMP threads 1. 
% device 0: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 1: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 2: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 3: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% Mon Mar 22 04:37:05 2021
world size (GPU number) is 2
Aurow 5000 Aucol 2500 Avrow 1250 Avcol 10000 nt 50 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 2500 Avrow 1250 Avcol 10000 nt 50 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
nruns is 2000 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000413 BandWidth: 968.34 
Times: 0.000411 BandWidth: 973.96 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000410 BandWidth: 976.23 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000410 BandWidth: 976.23 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000441 BandWidth: 907.59 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000409 BandWidth: 978.51 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000425 BandWidth: 941.72 
Times: 0.000413 BandWidth: 968.34 
Times: 0.000422 BandWidth: 948.10 
Times: 0.000409 BandWidth: 978.51 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000409 BandWidth: 978.51 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000419 BandWidth: 954.57 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000420 BandWidth: 952.41 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000409 BandWidth: 978.51 
Times: 0.000409 BandWidth: 977.94 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000409 BandWidth: 978.51 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000419 BandWidth: 954.57 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000420 BandWidth: 952.41 
Times: 0.000418 BandWidth: 956.75 
Times: 0.000413 BandWidth: 968.34 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000410 BandWidth: 976.23 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000421 BandWidth: 950.25 
Times: 0.000416 BandWidth: 962.24 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000413 BandWidth: 968.34 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000416 BandWidth: 962.24 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000411 BandWidth: 973.96 
Times: 0.000413 BandWidth: 968.34 
Times: 0.001019 BandWidth: 392.64 
Times: 0.000431 BandWidth: 928.69 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000416 BandWidth: 962.24 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000407 BandWidth: 983.09 
Times: 0.000421 BandWidth: 950.25 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000422 BandWidth: 948.10 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000416 BandWidth: 962.24 
Times: 0.000408 BandWidth: 980.80 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000429 BandWidth: 932.82 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000422 BandWidth: 948.10 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000409 BandWidth: 978.51 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000407 BandWidth: 983.09 
Times: 0.000420 BandWidth: 952.41 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000408 BandWidth: 980.22 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000407 BandWidth: 982.52 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000409 BandWidth: 978.51 
Times: 0.000416 BandWidth: 962.24 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000426 BandWidth: 939.08 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000420 BandWidth: 952.41 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000409 BandWidth: 977.94 
Times: 0.000434 BandWidth: 921.55 
Times: 0.000407 BandWidth: 983.09 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000412 BandWidth: 970.58 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000411 BandWidth: 973.96 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000411 BandWidth: 973.96 
Times: 0.000409 BandWidth: 977.94 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000411 BandWidth: 973.96 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000408 BandWidth: 980.80 
Times: 0.000410 BandWidth: 976.23 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000407 BandWidth: 983.09 
Times: 0.000413 BandWidth: 968.34 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000411 BandWidth: 973.96 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000413 BandWidth: 968.34 
Times: 0.000408 BandWidth: 980.22 
Times: 0.000420 BandWidth: 952.95 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000646 BandWidth: 619.47 
Times: 0.000409 BandWidth: 977.94 
Times: 0.000419 BandWidth: 955.12 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000409 BandWidth: 977.94 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000413 BandWidth: 968.34 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000420 BandWidth: 952.41 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000410 BandWidth: 976.23 
Times: 0.000421 BandWidth: 950.25 
Times: 0.000409 BandWidth: 978.51 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000409 BandWidth: 977.94 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000408 BandWidth: 980.80 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000409 BandWidth: 978.51 
Times: 0.000423 BandWidth: 945.96 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000409 BandWidth: 977.94 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000413 BandWidth: 968.34 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000409 BandWidth: 977.94 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000408 BandWidth: 980.80 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000408 BandWidth: 980.80 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000424 BandWidth: 943.84 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000410 BandWidth: 976.23 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000422 BandWidth: 948.10 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000419 BandWidth: 954.57 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000411 BandWidth: 973.96 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000422 BandWidth: 948.10 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000413 BandWidth: 968.34 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000420 BandWidth: 952.41 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000408 BandWidth: 980.80 
Times: 0.000421 BandWidth: 950.79 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000408 BandWidth: 980.80 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000409 BandWidth: 977.94 
Times: 0.000420 BandWidth: 952.41 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000410 BandWidth: 976.23 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000419 BandWidth: 955.12 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000419 BandWidth: 955.12 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000410 BandWidth: 976.23 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000408 BandWidth: 980.80 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000420 BandWidth: 952.41 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000410 BandWidth: 976.23 
Times: 0.000413 BandWidth: 968.34 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000408 BandWidth: 980.22 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000409 BandWidth: 978.51 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000417 BandWidth: 958.94 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000410 BandWidth: 976.23 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000419 BandWidth: 955.12 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000411 BandWidth: 973.96 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000420 BandWidth: 952.95 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000412 BandWidth: 970.58 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000409 BandWidth: 977.94 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000422 BandWidth: 948.10 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000410 BandWidth: 976.23 
Times: 0.000407 BandWidth: 983.09 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000410 BandWidth: 976.23 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000416 BandWidth: 962.24 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000409 BandWidth: 978.51 
Times: 0.000409 BandWidth: 977.94 
Times: 0.000413 BandWidth: 968.34 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000410 BandWidth: 976.23 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000419 BandWidth: 955.12 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000426 BandWidth: 939.08 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000416 BandWidth: 962.24 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000419 BandWidth: 954.57 
Times: 0.000409 BandWidth: 977.94 
Times: 0.000424 BandWidth: 943.84 
Times: 0.000420 BandWidth: 952.95 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000413 BandWidth: 968.34 
Times: 0.000408 BandWidth: 980.80 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000407 BandWidth: 983.09 
Times: 0.000416 BandWidth: 962.24 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000413 BandWidth: 968.34 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000408 BandWidth: 980.80 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000408 BandWidth: 980.80 
Times: 0.000413 BandWidth: 968.34 
Times: 0.000413 BandWidth: 968.34 
Times: 0.000413 BandWidth: 968.34 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000408 BandWidth: 980.80 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000419 BandWidth: 955.12 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000422 BandWidth: 948.10 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000426 BandWidth: 939.08 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000413 BandWidth: 968.34 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000416 BandWidth: 962.24 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000416 BandWidth: 962.24 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000418 BandWidth: 956.75 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000419 BandWidth: 954.57 
Times: 0.000411 BandWidth: 973.96 
Times: 0.000408 BandWidth: 980.80 
Times: 0.000426 BandWidth: 939.08 
Times: 0.000415 BandWidth: 964.45 
Times: 0.002354 BandWidth: 169.97 
Times: 0.000426 BandWidth: 939.08 
Times: 0.000419 BandWidth: 955.12 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000419 BandWidth: 955.12 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000419 BandWidth: 955.12 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000420 BandWidth: 952.41 
Times: 0.000424 BandWidth: 943.84 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000410 BandWidth: 976.23 
Times: 0.000408 BandWidth: 980.80 
Times: 0.000422 BandWidth: 948.10 
Times: 0.000409 BandWidth: 977.94 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000419 BandWidth: 954.57 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000414 BandWidth: 966.67 
Times: 0.000409 BandWidth: 977.94 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000419 BandWidth: 955.12 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000408 BandWidth: 980.80 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000409 BandWidth: 978.51 
Times: 0.000409 BandWidth: 978.51 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000423 BandWidth: 945.96 
Times: 0.000421 BandWidth: 950.25 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000409 BandWidth: 977.94 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000421 BandWidth: 950.25 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000419 BandWidth: 955.12 
Times: 0.000409 BandWidth: 978.51 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000415 BandWidth: 963.89 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000423 BandWidth: 945.96 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000416 BandWidth: 962.24 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000421 BandWidth: 950.79 
Times: 0.000409 BandWidth: 977.94 
Times: 0.000418 BandWidth: 956.75 
Times: 0.000410 BandWidth: 976.23 
Times: 0.000418 BandWidth: 957.30 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000409 BandWidth: 977.94 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000413 BandWidth: 968.34 
Times: 0.000410 BandWidth: 976.23 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000425 BandWidth: 941.72 
Times: 0.000425 BandWidth: 941.72 
Times: 0.000416 BandWidth: 961.69 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000419 BandWidth: 954.57 
Times: 0.000411 BandWidth: 973.40 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000415 BandWidth: 964.45 
Times: 0.000410 BandWidth: 975.66 
Times: 0.000414 BandWidth: 966.11 
Times: 0.000417 BandWidth: 958.94 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000411 BandWidth: 973.96 
Times: 0.000417 BandWidth: 959.49 
Times: 0.000413 BandWidth: 968.90 
Times: 0.000412 BandWidth: 971.15 
Times: 0.000412 BandWidth: 971.15 
