--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              samsara
  Local adapter:           mlx5_2
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   samsara
  Local device: mlx5_2
--------------------------------------------------------------------------
% MAGMA 2.5.4  compiled for CUDA capability >= 7.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11020. OpenMP threads 1. 
% device 0: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 1: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 2: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 3: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% Mon Mar 22 04:36:36 2021
world size (GPU number) is 1
Aurow 5000 Aucol 5000 Avrow 1250 Avcol 20000 nt 100 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000632 BandWidth: 633.02 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000646 BandWidth: 619.47 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000640 BandWidth: 625.01 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000646 BandWidth: 619.24 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000630 BandWidth: 634.94 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000642 BandWidth: 623.38 
Times: 0.000644 BandWidth: 621.07 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000651 BandWidth: 614.70 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000632 BandWidth: 633.02 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000632 BandWidth: 633.02 
Times: 0.000646 BandWidth: 619.47 
Times: 0.000652 BandWidth: 613.80 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000644 BandWidth: 621.07 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000645 BandWidth: 620.16 
Times: 0.000644 BandWidth: 621.30 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000647 BandWidth: 618.33 
Times: 0.000644 BandWidth: 621.07 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000634 BandWidth: 630.88 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000642 BandWidth: 623.38 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000639 BandWidth: 625.94 
Times: 0.000634 BandWidth: 630.88 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000638 BandWidth: 627.34 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000632 BandWidth: 633.02 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000644 BandWidth: 621.30 
Times: 0.000645 BandWidth: 620.38 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000640 BandWidth: 625.01 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000632 BandWidth: 633.02 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000646 BandWidth: 619.47 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000642 BandWidth: 623.38 
Times: 0.000632 BandWidth: 633.02 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000644 BandWidth: 621.30 
Times: 0.000634 BandWidth: 630.88 
Times: 0.000642 BandWidth: 623.38 
Times: 0.000647 BandWidth: 618.33 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000654 BandWidth: 611.79 
Times: 0.000632 BandWidth: 633.02 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000651 BandWidth: 614.48 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000630 BandWidth: 634.94 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000640 BandWidth: 625.01 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000632 BandWidth: 633.02 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000644 BandWidth: 621.30 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000631 BandWidth: 634.22 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000644 BandWidth: 621.30 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000644 BandWidth: 621.30 
Times: 0.000646 BandWidth: 619.24 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000638 BandWidth: 627.34 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000644 BandWidth: 621.30 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000640 BandWidth: 625.01 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000631 BandWidth: 633.98 
Times: 0.000640 BandWidth: 625.01 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000639 BandWidth: 625.94 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000640 BandWidth: 625.01 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000629 BandWidth: 636.14 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000639 BandWidth: 625.94 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000644 BandWidth: 621.30 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000639 BandWidth: 625.94 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000632 BandWidth: 633.26 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000657 BandWidth: 608.90 
Times: 0.000647 BandWidth: 618.33 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000646 BandWidth: 619.24 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000651 BandWidth: 614.70 
Times: 0.000644 BandWidth: 621.30 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000639 BandWidth: 625.94 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000644 BandWidth: 621.30 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000638 BandWidth: 627.34 
Times: 0.000634 BandWidth: 630.88 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000651 BandWidth: 614.48 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000637 BandWidth: 628.28 
Times: 0.000642 BandWidth: 623.38 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000637 BandWidth: 628.28 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000646 BandWidth: 619.24 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000637 BandWidth: 628.28 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000647 BandWidth: 618.56 
Times: 0.000632 BandWidth: 633.26 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000632 BandWidth: 633.02 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000637 BandWidth: 628.28 
Times: 0.000642 BandWidth: 623.38 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000645 BandWidth: 620.16 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000639 BandWidth: 625.94 
Times: 0.000637 BandWidth: 628.28 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000637 BandWidth: 628.28 
Times: 0.000630 BandWidth: 634.94 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000649 BandWidth: 616.51 
Times: 0.000639 BandWidth: 625.94 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000650 BandWidth: 615.61 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000644 BandWidth: 621.30 
Times: 0.000646 BandWidth: 619.47 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000649 BandWidth: 616.51 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000642 BandWidth: 623.38 
Times: 0.000645 BandWidth: 620.16 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000644 BandWidth: 621.30 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000631 BandWidth: 633.98 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000631 BandWidth: 634.22 
Times: 0.000640 BandWidth: 625.01 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000632 BandWidth: 633.02 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000639 BandWidth: 625.94 
Times: 0.000637 BandWidth: 628.28 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000640 BandWidth: 625.01 
Times: 0.000650 BandWidth: 615.61 
Times: 0.000644 BandWidth: 621.30 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000631 BandWidth: 633.98 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000640 BandWidth: 625.01 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000644 BandWidth: 621.30 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000646 BandWidth: 619.24 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000639 BandWidth: 625.94 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000632 BandWidth: 633.02 
Times: 0.000632 BandWidth: 633.02 
Times: 0.000645 BandWidth: 620.38 
Times: 0.000646 BandWidth: 619.24 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000640 BandWidth: 625.01 
Times: 0.000637 BandWidth: 628.28 
Times: 0.000642 BandWidth: 623.38 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000644 BandWidth: 621.30 
Times: 0.000632 BandWidth: 633.26 
Times: 0.000632 BandWidth: 633.02 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000637 BandWidth: 628.28 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000646 BandWidth: 619.24 
Times: 0.000637 BandWidth: 628.28 
Times: 0.000632 BandWidth: 633.02 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000634 BandWidth: 630.88 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000659 BandWidth: 607.14 
Times: 0.000630 BandWidth: 634.94 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000647 BandWidth: 618.33 
Times: 0.000646 BandWidth: 619.47 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000637 BandWidth: 628.05 
Times: 0.002702 BandWidth: 148.08 
Times: 0.000695 BandWidth: 575.69 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000639 BandWidth: 625.94 
Times: 0.000632 BandWidth: 633.02 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000655 BandWidth: 610.90 
Times: 0.000640 BandWidth: 625.01 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000644 BandWidth: 621.07 
Times: 0.000630 BandWidth: 635.18 
Times: 0.000640 BandWidth: 625.01 
Times: 0.000644 BandWidth: 621.07 
Times: 0.000637 BandWidth: 628.28 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000640 BandWidth: 625.01 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000648 BandWidth: 617.42 
Times: 0.000645 BandWidth: 620.16 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000640 BandWidth: 625.01 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000639 BandWidth: 625.94 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000642 BandWidth: 623.38 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000645 BandWidth: 620.16 
Times: 0.000639 BandWidth: 625.94 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000632 BandWidth: 633.02 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000625 BandWidth: 640.27 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000630 BandWidth: 635.18 
Times: 0.000632 BandWidth: 633.02 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000630 BandWidth: 635.18 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000637 BandWidth: 628.28 
Times: 0.000631 BandWidth: 634.22 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000631 BandWidth: 633.98 
Times: 0.000631 BandWidth: 634.22 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000643 BandWidth: 622.46 
Times: 0.000632 BandWidth: 633.26 
Times: 0.000644 BandWidth: 621.30 
Times: 0.000633 BandWidth: 632.31 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000640 BandWidth: 625.01 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000636 BandWidth: 629.22 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000632 BandWidth: 633.26 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000640 BandWidth: 625.01 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000640 BandWidth: 625.01 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000644 BandWidth: 621.30 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000640 BandWidth: 625.01 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000643 BandWidth: 622.23 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000637 BandWidth: 628.28 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000640 BandWidth: 625.01 
Times: 0.000650 BandWidth: 615.38 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000632 BandWidth: 633.02 
Times: 0.000647 BandWidth: 618.33 
Times: 0.000633 BandWidth: 632.07 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000642 BandWidth: 623.38 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000646 BandWidth: 619.24 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000641 BandWidth: 624.31 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000634 BandWidth: 631.12 
Times: 0.000647 BandWidth: 618.33 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000635 BandWidth: 629.93 
Times: 0.000639 BandWidth: 626.17 
Times: 0.000644 BandWidth: 621.30 
Times: 0.000636 BandWidth: 628.99 
Times: 0.000638 BandWidth: 627.11 
Times: 0.000652 BandWidth: 613.80 
Times: 0.000637 BandWidth: 628.05 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000642 BandWidth: 623.15 
Times: 0.000641 BandWidth: 624.08 
Times: 0.000635 BandWidth: 630.17 
Times: 0.000640 BandWidth: 625.24 
Times: 0.000631 BandWidth: 633.98 
Times: 0.000636 BandWidth: 629.22 
